Date,Mid
19 08 2020,111.344
18 08 2020,111.194
17 08 2020,111.156
14 08 2020,111.555
13 08 2020,111.759
12 08 2020,111.877
11 08 2020,111.737
10 08 2020,111.906
7 08 2020,111.381
6 08 2020,110.989
5 08 2020,110.58
4 08 2020,111.061
3 08 2020,110.637
31 07 2020,110.692
30 07 2020,110.845
29 07 2020,110.615
28 07 2020,110.591
27 07 2020,110.458
24 07 2020,110.466
23 07 2020,111.002
22 07 2020,110.476
21 07 2020,110.361
20 07 2020,109.724
17 07 2020,109.804
16 07 2020,109.964
15 07 2020,109.96
14 07 2020,109.874
13 07 2020,109.504
10 07 2020,108.861
9 07 2020,109.033
8 07 2020,109.385
7 07 2020,109.332
6 07 2020,109.539
3 07 2020,109.632
2 07 2020,109.593
1 07 2020,109.357
30 06 2020,109.655
29 06 2020,109.769
26 06 2020,109.25
25 06 2020,109.087
24 06 2020,108.643
23 06 2020,108.157
22 06 2020,108.528
19 06 2020,108.425
18 06 2020,108.158
17 06 2020,108.723
16 06 2020,108.705
15 06 2020,108.518
12 06 2020,107.646
11 06 2020,108.874
10 06 2020,109.556
9 06 2020,109.556
8 06 2020,110.239
5 06 2020,110.959
4 06 2020,111.362
3 06 2020,110.218
2 06 2020,110.433
1 06 2020,111.211
29 05 2020,111.282
28 05 2020,112.471
27 05 2020,112.513
26 05 2020,112.828
25 05 2020,113.371
22 05 2020,113.589
21 05 2020,113.277
20 05 2020,113.37
19 05 2020,113.317
18 05 2020,112.689
15 05 2020,112.659
14 05 2020,113.187
13 05 2020,112.755
12 05 2020,113.647
11 05 2020,113.437
8 05 2020,113.48
7 05 2020,113.675
6 05 2020,113.776
5 05 2020,113.579
4 05 2020,112.941
1 05 2020,112.931
30 04 2020,113.051
29 04 2020,112.754
28 04 2020,112.546
27 04 2020,112.811
24 04 2020,113.621
23 04 2020,113.611
22 04 2020,113.803
21 04 2020,113.833
20 04 2020,113.772
17 04 2020,114.064
16 04 2020,113.491
15 04 2020,113.418
14 04 2020,113.189
13 04 2020,113.181
10 04 2020,112.694
9 04 2020,112.938
8 04 2020,113.117
7 04 2020,112.353
6 04 2020,111.874
3 04 2020,112.408
2 04 2020,112.244
1 04 2020,112.439
31 03 2020,112.813
30 03 2020,112.504
27 03 2020,112.184
26 03 2020,112.635
25 03 2020,112.249
24 03 2020,111.764
23 03 2020,112.157
20 03 2020,112.158
19 03 2020,112.267
18 03 2020,112.949
17 03 2020,113.227
16 03 2020,113.681
13 03 2020,113.879
12 03 2020,114.532
11 03 2020,113.638
10 03 2020,113.89
9 03 2020,113.697
6 03 2020,113.354
5 03 2020,112.709
4 03 2020,112.973
3 03 2020,112.797
2 03 2020,112.539
28 02 2020,112.487
27 02 2020,112.276
26 02 2020,112.354
25 02 2020,111.84
24 02 2020,112.054
21 02 2020,111.917
20 02 2020,111.254
19 02 2020,111.626
18 02 2020,111.103
17 02 2020,110.969
14 02 2020,110.746
13 02 2020,111.525
12 02 2020,111.352
11 02 2020,111.035
10 02 2020,111.065
7 02 2020,110.964
6 02 2020,111.676
5 02 2020,111.187
4 02 2020,111.073
3 02 2020,111.204
31 01 2020,111.269
30 01 2020,110.547
29 01 2020,110.274
28 01 2020,110.065
27 01 2020,110.487
24 01 2020,110.888
23 01 2020,110.738
22 01 2020,111.143
21 01 2020,110.676
20 01 2020,110.807
17 01 2020,111.079
16 01 2020,110.978
15 01 2020,111.378
14 01 2020,111.401
13 01 2020,111.255
10 01 2020,111.656
9 01 2020,111.718
8 01 2020,111.823
7 01 2020,111.059
6 01 2020,111.006
3 01 2020,111.22
2 01 2020,110.969
1 01 2020,111.196
31 12 2019,111.339
30 12 2019,111.44
27 12 2019,112.462
26 12 2019,112.861
25 12 2019,112.875
24 12 2019,112.283
23 12 2019,112.337
20 12 2019,112.537
19 12 2019,111.989
18 12 2019,110.993
17 12 2019,110.844
16 12 2019,110.452
13 12 2019,110.632
12 12 2019,110.458
11 12 2019,110.568
10 12 2019,110.893
9 12 2019,110.671
6 12 2019,110.488
5 12 2019,110.258
4 12 2019,110.048
3 12 2019,109.75
2 12 2019,109.974
29 11 2019,109.98
28 11 2019,110.357
27 11 2019,110.056
26 11 2019,110.542
25 11 2019,110.632
22 11 2019,110.628
21 11 2019,110.336
20 11 2019,110.366
19 11 2019,110.033
18 11 2019,109.529
15 11 2019,109.694
14 11 2019,110.177
13 11 2019,109.782
12 11 2019,109.813
11 11 2019,109.508
8 11 2019,108.809
7 11 2019,108.904
6 11 2019,108.757
5 11 2019,109.41
4 11 2019,109.377
1 11 2019,109.25
31 10 2019,110.075
30 10 2019,110.894
29 10 2019,111.045
28 10 2019,110.748
25 10 2019,110.758
24 10 2019,110.392
23 10 2019,110.346
22 10 2019,109.65
21 10 2019,109.369
18 10 2019,109.39
17 10 2019,109.742
16 10 2019,109.122
15 10 2019,109.089
14 10 2019,109.101
11 10 2019,109.191
10 10 2019,109.836
9 10 2019,109.861
8 10 2019,109.33
7 10 2019,109.045
4 10 2019,109.294
3 10 2019,109.421
2 10 2019,108.813
1 10 2019,108.701
30 09 2019,107.632
27 09 2019,107.363
26 09 2019,107.23
25 09 2019,107.004
24 09 2019,107.108
23 09 2019,107.335
20 09 2019,107.317
19 09 2019,106.786
18 09 2019,107.197
17 09 2019,106.752
16 09 2019,106.902
13 09 2019,107.381
12 09 2019,106.773
11 09 2019,106.607
10 09 2019,105.878
9 09 2019,106.249
6 09 2019,106.426
5 09 2019,106.845
4 09 2019,105.332
3 09 2019,105.4
2 09 2019,104.721
30 08 2019,105.275
29 08 2019,106.048
28 08 2019,106.532
27 08 2019,106.091
26 08 2019,105.98
23 08 2019,106.333
22 08 2019,106.319
21 08 2019,106.569
20 08 2019,106.411
19 08 2019,106.806
16 08 2019,106.216
15 08 2019,106.066
14 08 2019,106.123
13 08 2019,106.198
12 08 2019,105.718
9 08 2019,106.232
8 08 2019,106.672
7 08 2019,107.328
6 08 2019,106.923
5 08 2019,106.866
2 08 2019,106.753
1 08 2019,107.772
31 07 2019,107.324
30 07 2019,106.586
29 07 2019,106.206
26 07 2019,106.117
25 07 2019,107.004
24 07 2019,107.823
23 07 2019,108.645
22 07 2019,108.782
19 07 2019,108.732
18 07 2019,109.314
17 07 2019,109.55
16 07 2019,109.058
15 07 2019,110.137
12 07 2019,109.402
11 07 2019,109.188
10 07 2019,108.769
9 07 2019,108.953
8 07 2019,108.606
5 07 2019,109.402
4 07 2019,109.22
3 07 2019,110.297
2 07 2019,110.917
1 07 2019,110.817
28 06 2019,111.091
27 06 2019,111.289
26 06 2019,110.448
25 06 2019,110.525
24 06 2019,111.018
21 06 2019,111.255
20 06 2019,111.436
19 06 2019,112.638
18 06 2019,113.09
17 06 2019,113.027
14 06 2019,112.743
13 06 2019,112.503
12 06 2019,112.278
11 06 2019,112.658
10 06 2019,112.658
7 06 2019,112.866
6 06 2019,113.347
5 06 2019,113.227
4 06 2019,113.225
3 06 2019,113.26
31 05 2019,113.326
30 05 2019,113.39
29 05 2019,112.883
28 05 2019,112.538
27 05 2019,112.585
24 05 2019,112.381
23 05 2019,112.537
22 05 2019,113.543
21 05 2019,113.553
20 05 2019,113.461
17 05 2019,113.082
16 05 2019,112.288
15 05 2019,112.573
14 05 2019,112.413
13 05 2019,112.176
10 05 2019,112.532
9 05 2019,111.927
8 05 2019,111.477
7 05 2019,111.092
6 05 2019,111.502
3 05 2019,111.21
2 05 2019,111.215
1 05 2019,112.441
30 04 2019,112.621
29 04 2019,112.072
26 04 2019,113.052
25 04 2019,112.872
24 04 2019,113.451
23 04 2019,113.624
22 04 2019,113.495
19 04 2019,113.469
18 04 2019,113.868
17 04 2019,114.013
16 04 2019,113.7
15 04 2019,114.05
12 04 2019,114.088
11 04 2019,114.173
10 04 2019,113.634
9 04 2019,113.173
8 04 2019,113.673
5 04 2019,113.974
4 04 2019,113.74
3 04 2019,113.891
2 04 2019,113.432
1 04 2019,113.511
29 03 2019,112.533
28 03 2019,112.925
27 03 2019,112.195
26 03 2019,112.186
25 03 2019,111.825
22 03 2019,112.277
21 03 2019,112.485
20 03 2019,112.443
19 03 2019,112.688
18 03 2019,112.614
15 03 2019,112.811
14 03 2019,112.75
13 03 2019,112.844
12 03 2019,112.751
11 03 2019,112.471
8 03 2019,112.333
7 03 2019,112.819
6 03 2019,112.221
5 03 2019,111.727
4 03 2019,111.988
1 03 2019,112.458
28 02 2019,112.209
27 02 2019,111.583
26 02 2019,111.563
25 02 2019,110.826
22 02 2019,110.233
21 02 2019,110.477
20 02 2019,110.154
19 02 2019,109.38
18 02 2019,107.842
