Date,Mid
3 05 2021,1.10179
30 04 2021,1.10581
29 04 2021,1.10723
28 04 2021,1.1078
27 04 2021,1.10718
26 04 2021,1.10494
23 04 2021,1.10204
22 04 2021,1.10053
21 04 2021,1.10088
20 04 2021,1.10323
19 04 2021,1.10176
16 04 2021,1.10497
15 04 2021,1.10658
14 04 2021,1.10742
13 04 2021,1.11272
12 04 2021,1.11641
9 04 2021,1.11513
8 04 2021,1.11501
7 04 2021,1.11118
6 04 2021,1.10991
5 04 2021,1.1079
2 04 2021,1.11037
1 04 2021,1.11297
31 03 2021,1.11243
30 03 2021,1.11487
29 03 2021,1.11703
26 03 2021,1.11234
25 03 2021,1.1071
24 03 2021,1.1032
23 03 2021,1.10248
22 03 2021,1.10329
19 03 2021,1.1005
18 03 2021,1.0971
17 03 2021,1.0956
16 03 2021,1.09703
15 03 2021,1.0976
12 03 2021,1.09627
11 03 2021,1.0959
10 03 2021,1.09311
9 03 2021,1.08991
8 03 2021,1.09367
5 03 2021,1.09187
4 03 2021,1.09413
3 03 2021,1.10193
2 03 2021,1.09925
1 03 2021,1.10169
26 02 2021,1.10408
25 02 2021,1.10298
24 02 2021,1.10725
23 02 2021,1.09991
22 02 2021,1.10707
19 02 2021,1.10643
18 02 2021,1.10102
17 02 2021,1.10432
16 02 2021,1.10477
15 02 2021,1.1025
12 02 2021,1.1034
11 02 2021,1.10348
10 02 2021,1.09726
9 02 2021,1.09682
8 02 2021,1.0988
5 02 2021,1.10563
4 02 2021,1.1077
3 02 2021,1.10901
2 02 2021,1.11008
1 02 2021,1.1136
29 01 2021,1.10799
28 01 2021,1.10845
27 01 2021,1.10998
26 01 2021,1.10778
25 01 2021,1.10899
22 01 2021,1.11065
21 01 2021,1.11377
20 01 2021,1.1171
19 01 2021,1.12131
18 01 2021,1.11969
15 01 2021,1.11802
14 01 2021,1.1198
13 01 2021,1.1198
12 01 2021,1.12033
11 01 2021,1.11057
8 01 2021,1.10847
7 01 2021,1.10749
6 01 2021,1.11545
5 01 2021,1.11443
4 01 2021,1.11247
1 01 2021,1.11462
31 12 2020,1.11399
30 12 2020,1.11517
29 12 2020,1.12094
28 12 2020,1.12192
25 12 2020,1.12765
24 12 2020,1.12242
23 12 2020,1.12103
22 12 2020,1.12577
21 12 2020,1.12698
18 12 2020,1.12529
17 12 2020,1.12503
16 12 2020,1.12078
15 12 2020,1.12142
14 12 2020,1.12235
11 12 2020,1.12847
10 12 2020,1.12774
9 12 2020,1.12847
8 12 2020,1.12851
7 12 2020,1.13681
4 12 2020,1.13689
3 12 2020,1.13678
2 12 2020,1.13651
1 12 2020,1.13978
30 11 2020,1.13679
27 11 2020,1.12916
26 11 2020,1.12259
25 11 2020,1.11936
24 11 2020,1.12178
23 11 2020,1.1205
20 11 2020,1.12761
19 11 2020,1.12871
18 11 2020,1.1326
17 11 2020,1.13113
16 11 2020,1.13334
