Date,Mid
16 04 2021,50.505
15 04 2021,50.653
14 04 2021,50.49
13 04 2021,50.58
12 04 2021,50.49
9 04 2021,50.801
8 04 2021,50.89
7 04 2021,51.03
6 04 2021,51.151
5 04 2021,51.21
2 04 2021,51.321
1 04 2021,51.01
31 03 2021,51.186
30 03 2021,51.115
29 03 2021,51.26
26 03 2021,51.335
25 03 2021,51.52
24 03 2021,51.616
23 03 2021,51.571
22 03 2021,51.506
19 03 2021,51.6
18 03 2021,51.762
17 03 2021,51.84
16 03 2021,51.908
15 03 2021,51.695
12 03 2021,51.766
11 03 2021,51.996
10 03 2021,51.986
9 03 2021,51.818
8 03 2021,51.941
5 03 2021,52.19
4 03 2021,52.302
3 03 2021,52.262
2 03 2021,52.136
1 03 2021,52.003
26 02 2021,52.306
25 02 2021,52.161
24 02 2021,52.197
23 02 2021,52.287
22 02 2021,51.941
19 02 2021,51.85
18 02 2021,52.098
17 02 2021,52.05
16 02 2021,51.86
15 02 2021,51.826
12 02 2021,51.965
11 02 2021,51.88
10 02 2021,52.22
9 02 2021,52.276
8 02 2021,52.165
5 02 2021,52.17
4 02 2021,52.375
3 02 2021,52.297
2 02 2021,52.43
1 02 2021,52.459
29 01 2021,52.35
28 01 2021,52.2
27 01 2021,52.399
26 01 2021,52.382
25 01 2021,52.378
22 01 2021,52.773
21 01 2021,52.388
20 01 2021,51.964
19 01 2021,52.165
18 01 2021,52.044
15 01 2021,51.836
14 01 2021,52.298
13 01 2021,52.071
12 01 2021,52.21
11 01 2021,51.63
8 01 2021,51.055
7 01 2021,50.85
6 01 2021,50.83
5 01 2021,51.025
4 01 2021,51.121
1 01 2021,51.195
31 12 2020,51.14
30 12 2020,51.22
29 12 2020,51.138
28 12 2020,51.08
25 12 2020,51.043
24 12 2020,51.05
23 12 2020,50.9
22 12 2020,51.02
21 12 2020,51.12
18 12 2020,51.221
17 12 2020,51.331
16 12 2020,51.413
15 12 2020,51.38
14 12 2020,51.339
11 12 2020,51.17
10 12 2020,51.16
9 12 2020,51.194
8 12 2020,51.171
7 12 2020,51.245
4 12 2020,51.125
3 12 2020,51.385
2 12 2020,51.41
1 12 2020,51.33
30 11 2020,51.459
27 11 2020,51.413
26 11 2020,51.794
25 11 2020,51.789
24 11 2020,52.26
23 11 2020,52.07
20 11 2020,51.91
19 11 2020,51.994
18 11 2020,51.955
17 11 2020,52.069
16 11 2020,51.92
13 11 2020,51.681
12 11 2020,51.708
11 11 2020,51.873
10 11 2020,51.727
9 11 2020,52.15
6 11 2020,52.155
5 11 2020,52.345
4 11 2020,52.249
3 11 2020,52.159
2 11 2020,52.137
30 10 2020,52.466
29 10 2020,52.44
28 10 2020,52.41
27 10 2020,52.672
26 10 2020,52.68
23 10 2020,52.528
22 10 2020,52.313
21 10 2020,52.315
20 10 2020,52.5
19 10 2020,52.26
16 10 2020,52.267
15 10 2020,52.15
14 10 2020,52.032
13 10 2020,52.029
12 10 2020,51.795
9 10 2020,51.911
8 10 2020,51.71
7 10 2020,51.779
6 10 2020,52.135
5 10 2020,52.108
2 10 2020,52.214
1 10 2020,52.255
30 09 2020,52.037
29 09 2020,52.02
28 09 2020,51.682
25 09 2020,51.695
24 09 2020,51.66
23 09 2020,51.76
22 09 2020,51.66
21 09 2020,51.669
18 09 2020,51.952
17 09 2020,51.819
16 09 2020,52.02
15 09 2020,52.121
14 09 2020,52.07
11 09 2020,52.227
10 09 2020,52.075
9 09 2020,52.48
8 09 2020,52.423
7 09 2020,52.669
4 09 2020,52.718
3 09 2020,52.756
2 09 2020,52.642
1 09 2020,52.488
31 08 2020,52.631
28 08 2020,52.59
27 08 2020,52.915
26 08 2020,52.852
25 08 2020,52.73
24 08 2020,52.644
21 08 2020,52.729
20 08 2020,52.645
19 08 2020,52.95
18 08 2020,52.15
17 08 2020,52.261
14 08 2020,52.286
13 08 2020,52.206
12 08 2020,52.374
11 08 2020,51.811
10 08 2020,51.881
7 08 2020,51.859
6 08 2020,51.817
5 08 2020,52.002
4 08 2020,51.869
3 08 2020,52.047
31 07 2020,52.204
30 07 2020,51.919
29 07 2020,52.138
28 07 2020,52.38
27 07 2020,52.43
24 07 2020,52.349
23 07 2020,52.194
22 07 2020,52.141
21 07 2020,52.215
20 07 2020,52.13
17 07 2020,52.118
16 07 2020,52.331
15 07 2020,52.295
14 07 2020,52.367
13 07 2020,52.374
10 07 2020,52.124
9 07 2020,52.317
8 07 2020,52.448
7 07 2020,52.516
6 07 2020,52.553
3 07 2020,52.826
2 07 2020,52.7
1 07 2020,52.799
30 06 2020,52.75
29 06 2020,52.682
26 06 2020,52.499
25 06 2020,52.175
24 06 2020,52.085
23 06 2020,52.225
22 06 2020,52.18
19 06 2020,52.24
18 06 2020,52.28
17 06 2020,52.451
16 06 2020,52.438
15 06 2020,52.39
12 06 2020,52.566
11 06 2020,52.421
10 06 2020,52.105
9 06 2020,52.5
8 06 2020,52.525
5 06 2020,52.68
4 06 2020,52.938
3 06 2020,52.975
2 06 2020,52.975
1 06 2020,52.949
29 05 2020,53.13
28 05 2020,53.059
27 05 2020,52.929
26 05 2020,52.932
25 05 2020,53.062
22 05 2020,52.631
21 05 2020,52.605
20 05 2020,52.698
19 05 2020,52.903
18 05 2020,52.785
15 05 2020,52.813
14 05 2020,52.736
13 05 2020,52.839
12 05 2020,52.54
11 05 2020,52.42
8 05 2020,52.398
7 05 2020,52.536
6 05 2020,52.638
5 05 2020,52.511
4 05 2020,52.399
1 05 2020,52.321
30 04 2020,52.185
29 04 2020,52.507
28 04 2020,52.516
27 04 2020,52.575
24 04 2020,52.683
23 04 2020,53.063
22 04 2020,53.061
21 04 2020,53.228
20 04 2020,53.127
17 04 2020,52.913
16 04 2020,52.694
15 04 2020,53.038
14 04 2020,53.275
13 04 2020,53.16
10 04 2020,53.254
9 04 2020,53.437
8 04 2020,53.572
7 04 2020,53.608
6 04 2020,53.58
3 04 2020,53.7
2 04 2020,53.868
1 04 2020,53.803
31 03 2020,53.892
30 03 2020,53.713
27 03 2020,54.16
26 03 2020,53.906
25 03 2020,53.834
24 03 2020,54.035
23 03 2020,54.06
20 03 2020,54.07
19 03 2020,54.146
18 03 2020,54.176
17 03 2020,54.143
16 03 2020,54.221
13 03 2020,54.357
12 03 2020,54.269
11 03 2020,54.255
10 03 2020,54.154
9 03 2020,53.975
6 03 2020,54.051
5 03 2020,54.237
4 03 2020,54.249
3 03 2020,54.225
2 03 2020,54.241
28 02 2020,54.096
27 02 2020,53.897
26 02 2020,54.099
25 02 2020,54.174
24 02 2020,54.11
21 02 2020,54.023
20 02 2020,53.895
19 02 2020,53.956
18 02 2020,53.925
17 02 2020,53.735
14 02 2020,53.981
13 02 2020,53.661
12 02 2020,53.62
11 02 2020,53.557
10 02 2020,53.4675
7 02 2020,53.53
6 02 2020,53.396
5 02 2020,53.311
4 02 2020,53.306
3 02 2020,53.374
31 01 2020,53.532
30 01 2020,53.406
29 01 2020,53.413
28 01 2020,53.333
27 01 2020,53.335
24 01 2020,53.444
23 01 2020,53.545
22 01 2020,53.495
21 01 2020,53.626
20 01 2020,53.25
17 01 2020,53.069
16 01 2020,53.025
15 01 2020,52.864
14 01 2020,52.825
13 01 2020,53.065
10 01 2020,53.191
9 01 2020,53.05
8 01 2020,53.012
7 01 2020,53.095
6 01 2020,53.227
3 01 2020,53.414
2 01 2020,53.245
1 01 2020,53.271
31 12 2019,53.445
30 12 2019,53.357
27 12 2019,53.642
26 12 2019,53.467
25 12 2019,53.443
24 12 2019,53.488
23 12 2019,53.532
20 12 2019,53.416
