Date,Mid
7 09 2020,1.30294
4 09 2020,1.30377
3 09 2020,1.31858
2 09 2020,1.3206
1 09 2020,1.31972
31 08 2020,1.32058
28 08 2020,1.3108
27 08 2020,1.31926
26 08 2020,1.32647
25 08 2020,1.32528
24 08 2020,1.32884
21 08 2020,1.32399
20 08 2020,1.3337
19 08 2020,1.3071
18 08 2020,1.31486
17 08 2020,1.30111
14 08 2020,1.30802
13 08 2020,1.31687
12 08 2020,1.31773
11 08 2020,1.31787
10 08 2020,1.31983
7 08 2020,1.32613
6 08 2020,1.33067
5 08 2020,1.32502
4 08 2020,1.30957
3 08 2020,1.30494
31 07 2020,1.30359
30 07 2020,1.3049
29 07 2020,1.3061
28 07 2020,1.29208
27 07 2020,1.28865
24 07 2020,1.28004
23 07 2020,1.2845
22 07 2020,1.28913
21 07 2020,1.28579
20 07 2020,1.29441
17 07 2020,1.29518
16 07 2020,1.29285
15 07 2020,1.29487
14 07 2020,1.30338
13 07 2020,1.30739
10 07 2020,1.31062
9 07 2020,1.31155
8 07 2020,1.30661
7 07 2020,1.31534
6 07 2020,1.31984
3 07 2020,1.3062
2 07 2020,1.30673
1 07 2020,1.29539
30 06 2020,1.28906
29 06 2020,1.28696
26 06 2020,1.29844
25 06 2020,1.28774
24 06 2020,1.28589
23 06 2020,1.28582
22 06 2020,1.28347
19 06 2020,1.27418
18 06 2020,1.27882
17 06 2020,1.27133
16 06 2020,1.2775
15 06 2020,1.2717
12 06 2020,1.26278
11 06 2020,1.2606
10 06 2020,1.27526
9 06 2020,1.27526
8 06 2020,1.26943
5 06 2020,1.26416
4 06 2020,1.26317
3 06 2020,1.26544
2 06 2020,1.27005
1 06 2020,1.26247
29 05 2020,1.26541
28 05 2020,1.26097
27 05 2020,1.26374
26 05 2020,1.26199
25 05 2020,1.25813
22 05 2020,1.26509
21 05 2020,1.26288
20 05 2020,1.24837
19 05 2020,1.25595
18 05 2020,1.27296
15 05 2020,1.27817
14 05 2020,1.27319
13 05 2020,1.27149
12 05 2020,1.27232
11 05 2020,1.27509
8 05 2020,1.2785
7 05 2020,1.28232
6 05 2020,1.2742
5 05 2020,1.28068
4 05 2020,1.28006
1 05 2020,1.28752
30 04 2020,1.27743
29 04 2020,1.27862
28 04 2020,1.28496
27 04 2020,1.28261
24 04 2020,1.27688
23 04 2020,1.29861
22 04 2020,1.29675
21 04 2020,1.28476
20 04 2020,1.29729
17 04 2020,1.30607
16 04 2020,1.31219
15 04 2020,1.3095
14 04 2020,1.30398
13 04 2020,1.29617
10 04 2020,1.30009
9 04 2020,1.27644
8 04 2020,1.27066
7 04 2020,1.27919
6 04 2020,1.2826
3 04 2020,1.28162
2 04 2020,1.28792
1 04 2020,1.29819
31 03 2020,1.29564
30 03 2020,1.30666
27 03 2020,1.30168
26 03 2020,1.31128
25 03 2020,1.31767
24 03 2020,1.31514
23 03 2020,1.31516
20 03 2020,1.32311
19 03 2020,1.3188
18 03 2020,1.31425
17 03 2020,1.30859
16 03 2020,1.31136
13 03 2020,1.30208
12 03 2020,1.29362
11 03 2020,1.29777
10 03 2020,1.30419
9 03 2020,1.30278
6 03 2020,1.30733
5 03 2020,1.31639
4 03 2020,1.31786
3 03 2020,1.31192
2 03 2020,1.30764
28 02 2020,1.32589
27 02 2020,1.31427
26 02 2020,1.31475
25 02 2020,1.31564
24 02 2020,1.30664
21 02 2020,1.3106
20 02 2020,1.30446
19 02 2020,1.30299
18 02 2020,1.30253
17 02 2020,1.29137
14 02 2020,1.29261
13 02 2020,1.29037
12 02 2020,1.2854
11 02 2020,1.28676
10 02 2020,1.29528
7 02 2020,1.30062
6 02 2020,1.3025
5 02 2020,1.28703
4 02 2020,1.28915
3 02 2020,1.28452
31 01 2020,1.28132
30 01 2020,1.29095
29 01 2020,1.28987
28 01 2020,1.27969
27 01 2020,1.27466
24 01 2020,1.27088
23 01 2020,1.26942
22 01 2020,1.27214
21 01 2020,1.27594
20 01 2020,1.27663
17 01 2020,1.2823
16 01 2020,1.28807
15 01 2020,1.29385
14 01 2020,1.29426
13 01 2020,1.30011
10 01 2020,1.30155
9 01 2020,1.31259
8 01 2020,1.3122
7 01 2020,1.31315
6 01 2020,1.30967
3 01 2020,1.31072
2 01 2020,1.31877
1 01 2020,1.31436
31 12 2019,1.30977
30 12 2019,1.31287
27 12 2019,1.30139
26 12 2019,1.30679
25 12 2019,1.3114
24 12 2019,1.32352
23 12 2019,1.32323
20 12 2019,1.3205
19 12 2019,1.32032
18 12 2019,1.32709
17 12 2019,1.32556
16 12 2019,1.32844
13 12 2019,1.32209
12 12 2019,1.32251
11 12 2019,1.31893
10 12 2019,1.31421
9 12 2019,1.3204
6 12 2019,1.30761
5 12 2019,1.31128
4 12 2019,1.32184
3 12 2019,1.32764
2 12 2019,1.32593
29 11 2019,1.32343
28 11 2019,1.31691
27 11 2019,1.31726
26 11 2019,1.32437
25 11 2019,1.32763
22 11 2019,1.32604
21 11 2019,1.33737
20 11 2019,1.33703
19 11 2019,1.33729
18 11 2019,1.34081
15 11 2019,1.3421
14 11 2019,1.34113
13 11 2019,1.33851
12 11 2019,1.33122
11 11 2019,1.33449
8 11 2019,1.32957
7 11 2019,1.32844
6 11 2019,1.32416
5 11 2019,1.33092
4 11 2019,1.32946
1 11 2019,1.33769
31 10 2019,1.33449
30 10 2019,1.34278
29 10 2019,1.34217
28 10 2019,1.34679
25 10 2019,1.35153
24 10 2019,1.34832
23 10 2019,1.35
22 10 2019,1.35559
21 10 2019,1.35407
18 10 2019,1.35169
17 10 2019,1.35447
16 10 2019,1.3546
15 10 2019,1.35558
14 10 2019,1.35253
11 10 2019,1.35729
10 10 2019,1.35718
9 10 2019,1.36124
8 10 2019,1.3755
7 10 2019,1.37785
4 10 2019,1.3915
3 10 2019,1.39291
2 10 2019,1.39767
1 10 2019,1.39391
30 09 2019,1.40002
27 09 2019,1.40833
26 09 2019,1.42
25 09 2019,1.42862
24 09 2019,1.43369
23 09 2019,1.42372
20 09 2019,1.42268
19 09 2019,1.41746
18 09 2019,1.41742
17 09 2019,1.41294
16 09 2019,1.40814
13 09 2019,1.40015
12 09 2019,1.40782
11 09 2019,1.40557
10 09 2019,1.4043
9 09 2019,1.40088
6 09 2019,1.40174
5 09 2019,1.40762
4 09 2019,1.41556
3 09 2019,1.42273
2 09 2019,1.41305
30 08 2019,1.40948
29 08 2019,1.41393
28 08 2019,1.39968
27 08 2019,1.40226
26 08 2019,1.39432
23 08 2019,1.39357
22 08 2019,1.39605
21 08 2019,1.39602
20 08 2019,1.39052
19 08 2019,1.38447
16 08 2019,1.38089
15 08 2019,1.3899
14 08 2019,1.38863
13 08 2019,1.38482
12 08 2019,1.3798
9 08 2019,1.37746
8 08 2019,1.3759
7 08 2019,1.3906
6 08 2019,1.39668
5 08 2019,1.39656
2 08 2019,1.39531
1 08 2019,1.39182
31 07 2019,1.39948
30 07 2019,1.39964
29 07 2019,1.40298
26 07 2019,1.40981
25 07 2019,1.39956
24 07 2019,1.38909
23 07 2019,1.38357
22 07 2019,1.38239
19 07 2019,1.39105
18 07 2019,1.38809
17 07 2019,1.3948
16 07 2019,1.39572
15 07 2019,1.41213
12 07 2019,1.42595
11 07 2019,1.41902
10 07 2019,1.41447
9 07 2019,1.40727
8 07 2019,1.41562
5 07 2019,1.41313
4 07 2019,1.42375
3 07 2019,1.39973
2 07 2019,1.39837
1 07 2019,1.38479
28 06 2019,1.38922
27 06 2019,1.38306
26 06 2019,1.3791
25 06 2019,1.37935
24 06 2019,1.37277
21 06 2019,1.35355
20 06 2019,1.3506
19 06 2019,1.35395
18 06 2019,1.35662
17 06 2019,1.3564
14 06 2019,1.35504
13 06 2019,1.35142
12 06 2019,1.35889
11 06 2019,1.34944
10 06 2019,1.34944
7 06 2019,1.34382
6 06 2019,1.33965
5 06 2019,1.33733
4 06 2019,1.33899
3 06 2019,1.33541
31 05 2019,1.33846
30 05 2019,1.33752
29 05 2019,1.33843
28 05 2019,1.33814
27 05 2019,1.33269
24 05 2019,1.34303
23 05 2019,1.3419
22 05 2019,1.33168
21 05 2019,1.33382
20 05 2019,1.33789
17 05 2019,1.34739
16 05 2019,1.33903
15 05 2019,1.34422
14 05 2019,1.3479
13 05 2019,1.34746
10 05 2019,1.3524
9 05 2019,1.34095
8 05 2019,1.33387
7 05 2019,1.33178
6 05 2019,1.33346
3 05 2019,1.33082
2 05 2019,1.33248
1 05 2019,1.3237
30 04 2019,1.32344
29 04 2019,1.32156
26 04 2019,1.31938
25 04 2019,1.31712
24 04 2019,1.31645
23 04 2019,1.31154
22 04 2019,1.31881
19 04 2019,1.31444
18 04 2019,1.3114
17 04 2019,1.31661
16 04 2019,1.31708
15 04 2019,1.30738
12 04 2019,1.30579
11 04 2019,1.32432
10 04 2019,1.32821
9 04 2019,1.32071
8 04 2019,1.31247
5 04 2019,1.31584
4 04 2019,1.32598
3 04 2019,1.31308
2 04 2019,1.31966
1 04 2019,1.31871
29 03 2019,1.31551
28 03 2019,1.32045
27 03 2019,1.31887
26 03 2019,1.32493
25 03 2019,1.32823
22 03 2019,1.32599
21 03 2019,1.32222
20 03 2019,1.32025
19 03 2019,1.314
18 03 2019,1.30645
15 03 2019,1.31179
14 03 2019,1.32479
13 03 2019,1.32375
12 03 2019,1.3275
11 03 2019,1.33953
8 03 2019,1.34395
7 03 2019,1.33844
6 03 2019,1.34587
5 03 2019,1.34646
4 03 2019,1.34934
1 03 2019,1.35748
28 02 2019,1.34934
27 02 2019,1.35064
26 02 2019,1.34935
25 02 2019,1.35937
22 02 2019,1.3395
21 02 2019,1.32073
20 02 2019,1.32823
19 02 2019,1.31616
18 02 2019,1.31915
15 02 2019,1.31
14 02 2019,1.30408
13 02 2019,1.30288
12 02 2019,1.29298
11 02 2019,1.29507
8 02 2019,1.29286
7 02 2019,1.29239
6 02 2019,1.29172
5 02 2019,1.29306
4 02 2019,1.28761
1 02 2019,1.27993
31 01 2019,1.27973
30 01 2019,1.28225
29 01 2019,1.28978
28 01 2019,1.28723
25 01 2019,1.28648
24 01 2019,1.28896
23 01 2019,1.2868
22 01 2019,1.29635
21 01 2019,1.30078
18 01 2019,1.29757
17 01 2019,1.30033
16 01 2019,1.29907
15 01 2019,1.30336
14 01 2019,1.30366
11 01 2019,1.31368
10 01 2019,1.3222
9 01 2019,1.32017
8 01 2019,1.32134
7 01 2019,1.31335
4 01 2019,1.30649
3 01 2019,1.31212
2 01 2019,1.30231
1 01 2019,1.30278
31 12 2018,1.29931
28 12 2018,1.29738
27 12 2018,1.30203
26 12 2018,1.30378
25 12 2018,1.30532
24 12 2018,1.30973
21 12 2018,1.29362
20 12 2018,1.28821
19 12 2018,1.28434
18 12 2018,1.28799
17 12 2018,1.28864
14 12 2018,1.29712
13 12 2018,1.29337
12 12 2018,1.29162
11 12 2018,1.29363
10 12 2018,1.30183
7 12 2018,1.30038
6 12 2018,1.2924
5 12 2018,1.28138
4 12 2018,1.27223
3 12 2018,1.27159
30 11 2018,1.26814
29 11 2018,1.26705
28 11 2018,1.2629
27 11 2018,1.27359
26 11 2018,1.27726
23 11 2018,1.27543
22 11 2018,1.27484
21 11 2018,1.27517
20 11 2018,1.26571
19 11 2018,1.27365
16 11 2018,1.29506
15 11 2018,1.29591
14 11 2018,1.29076
13 11 2018,1.29039
12 11 2018,1.28894
9 11 2018,1.28792
8 11 2018,1.28881
7 11 2018,1.28569
6 11 2018,1.28375
5 11 2018,1.28032
2 11 2018,1.29405
1 11 2018,1.29725
31 10 2018,1.29603
30 10 2018,1.29998
29 10 2018,1.30349
26 10 2018,1.29348
25 10 2018,1.2969
24 10 2018,1.29155
23 10 2018,1.2892
22 10 2018,1.28848
19 10 2018,1.28867
18 10 2018,1.29375
17 10 2018,1.29307
16 10 2018,1.29363
15 10 2018,1.29753
12 10 2018,1.29214
11 10 2018,1.28663
10 10 2018,1.29382
9 10 2018,1.28838
8 10 2018,1.29476
5 10 2018,1.29036
4 10 2018,1.28464
3 10 2018,1.28414
2 10 2018,1.27943
1 10 2018,1.28022
28 09 2018,1.2809
27 09 2018,1.27772
26 09 2018,1.284
25 09 2018,1.25631
24 09 2018,1.25172
21 09 2018,1.25008
20 09 2018,1.25387
19 09 2018,1.24893
18 09 2018,1.24117
17 09 2018,1.23678
14 09 2018,1.24677
13 09 2018,1.2482
12 09 2018,1.24382
11 09 2018,1.24839
10 09 2018,1.25512
7 09 2018,1.24676
6 09 2018,1.24347
5 09 2018,1.24473
4 09 2018,1.25572
3 09 2018,1.2471
31 08 2018,1.25199
30 08 2018,1.2483
29 08 2018,1.24769
28 08 2018,1.23578
27 08 2018,1.23945
24 08 2018,1.23586
23 08 2018,1.22911
22 08 2018,1.21487
21 08 2018,1.22178
20 08 2018,1.21636
17 08 2018,1.21642
16 08 2018,1.2165
15 08 2018,1.21984
14 08 2018,1.22352
13 08 2018,1.22915
10 08 2018,1.2265
9 08 2018,1.22922
8 08 2018,1.238
7 08 2018,1.24426
6 08 2018,1.24561
3 08 2018,1.25561
2 08 2018,1.24419
1 08 2018,1.2473
31 07 2018,1.24597
30 07 2018,1.24069
27 07 2018,1.24887
26 07 2018,1.24589
25 07 2018,1.24664
24 07 2018,1.25239
23 07 2018,1.24835
20 07 2018,1.24942
19 07 2018,1.2541
18 07 2018,1.25075
17 07 2018,1.24651
16 07 2018,1.24765
13 07 2018,1.25236
12 07 2018,1.26568
11 07 2018,1.25777
10 07 2018,1.2484
9 07 2018,1.25447
6 07 2018,1.25914
5 07 2018,1.26303
4 07 2018,1.25194
3 07 2018,1.2532
2 07 2018,1.23741
29 06 2018,1.23418
28 06 2018,1.22574
27 06 2018,1.24128
26 06 2018,1.20411
25 06 2018,1.2175
22 06 2018,1.21604
21 06 2018,1.22085
20 06 2018,1.21752
19 06 2018,1.21581
18 06 2018,1.22798
15 06 2018,1.24147
14 06 2018,1.23208
13 06 2018,1.2236
12 06 2018,1.22744
11 06 2018,1.23399
8 06 2018,1.22571
7 06 2018,1.22238
6 06 2018,1.22661
5 06 2018,1.22805
4 06 2018,1.22871
1 06 2018,1.22809
31 05 2018,1.23505
30 05 2018,1.23642
29 05 2018,1.23918
28 05 2018,1.24856
25 05 2018,1.2416
24 05 2018,1.25593
23 05 2018,1.26564
22 05 2018,1.26718
21 05 2018,1.25646
18 05 2018,1.2583
17 05 2018,1.26238
16 05 2018,1.2676
15 05 2018,1.27305
14 05 2018,1.27265
11 05 2018,1.25875
10 05 2018,1.25039
9 05 2018,1.24892
8 05 2018,1.24128
7 05 2018,1.24843
4 05 2018,1.24448
3 05 2018,1.24371
2 05 2018,1.24223
1 05 2018,1.24881
30 04 2018,1.23366
27 04 2018,1.24107
26 04 2018,1.24389
25 04 2018,1.2455
24 04 2018,1.2486
23 04 2018,1.25954
